_id,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
655e5f623c829e128643da61,626,2013-07-05T23:49:55.000Z,2013-07-06T00:00:21.000Z,312,Allen St & E Houston St,40.722055,-73.989111,511,E 14 St & Avenue B,40.72938685,-73.97772429,17595,Subscriber,1982,2
655e5f623c829e128643da6e,918,2013-07-05T23:52:09.000Z,2013-07-06T00:07:27.000Z,212,W 16 St & The High Line,40.74334935,-74.00681753,480,W 53 St & 10 Ave,40.76669671,-73.99061728,20270,Subscriber,1982,2
655e5f623c829e128643da95,1703,2013-07-06T00:03:19.000Z,2013-07-06T00:31:42.000Z,426,West St & Chambers St,40.71754834,-74.01322069,426,West St & Chambers St,40.71754834,-74.01322069,18217,Subscriber,1975,2
655e5f623c829e128643da96,1875,2013-07-06T00:03:21.000Z,2013-07-06T00:34:36.000Z,368,Carmine St & 6 Ave,40.73038599,-74.00214988,450,W 49 St & 8 Ave,40.76227205,-73.98788205,15143,Subscriber,1970,2
655e5f623c829e128643daa2,1067,2013-07-06T00:06:51.000Z,2013-07-06T00:24:38.000Z,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,297,E 15 St & 3 Ave,40.734232,-73.986923,19533,Subscriber,1982,2
655e5f623c829e128643dab1,446,2013-07-06T00:11:36.000Z,2013-07-06T00:19:02.000Z,515,W 43 St & 10 Ave,40.76009437,-73.99461843,493,W 45 St & 6 Ave,40.7568001,-73.98291153,18269,Subscriber,1981,2
655e5f623c829e128643dae0,1289,2013-07-06T00:26:06.000Z,2013-07-06T00:47:35.000Z,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,532,S 5 Pl & S 4 St,40.710451,-73.960876,19240,Subscriber,1978,2
655e5f623c829e128643daef,475,2013-07-06T00:29:31.000Z,2013-07-06T00:37:26.000Z,494,W 26 St & 8 Ave,40.74734825,-73.99723551,477,W 41 St & 8 Ave,40.75640548,-73.9900262,17197,Subscriber,1982,2
655e5f623c829e128643dafb,2077,2013-07-06T00:32:18.000Z,2013-07-06T01:06:55.000Z,426,West St & Chambers St,40.71754834,-74.01322069,478,11 Ave & W 41 St,40.76030096,-73.99884222,18217,Subscriber,1975,2
655e5f623c829e128643db35,1959,2013-07-06T00:49:28.000Z,2013-07-06T01:22:07.000Z,339,Avenue D & E 12 St,40.72580614,-73.97422494,266,Avenue D & E 8 St,40.72368361,-73.97574813,15716,Subscriber,1951,2
655e5f623c829e128643db48,2095,2013-07-06T00:57:21.000Z,2013-07-06T01:32:16.000Z,497,E 17 St & Broadway,40.73704984,-73.99009296,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,15385,Subscriber,1981,2
655e5f623c829e128643db68,2303,2013-07-06T01:07:12.000Z,2013-07-06T01:45:35.000Z,478,11 Ave & W 41 St,40.76030096,-73.99884222,448,W 37 St & 10 Ave,40.75660359,-73.9979009,18217,Subscriber,1975,2
655e5f623c829e128643db7f,1135,2013-07-06T01:18:04.000Z,2013-07-06T01:36:59.000Z,72,W 52 St & 11 Ave,40.76727216,-73.99392888,453,W 22 St & 8 Ave,40.74475148,-73.99915362,17979,Subscriber,1982,2
655e5f623c829e128643dbaf,2278,2013-07-06T01:45:55.000Z,2013-07-06T02:23:53.000Z,448,W 37 St & 10 Ave,40.75660359,-73.9979009,518,E 39 St & 2 Ave,40.74780373,-73.9734419,18217,Subscriber,1975,2
655e5f623c829e128643dc1c,1012,2013-07-06T02:50:15.000Z,2013-07-06T03:07:07.000Z,266,Avenue D & E 8 St,40.72368361,-73.97574813,266,Avenue D & E 8 St,40.72368361,-73.97574813,16352,Subscriber,1951,2
655e5f623c829e128643dc55,581,2013-07-06T03:44:13.000Z,2013-07-06T03:53:54.000Z,224,Spruce St & Nassau St,40.71146364,-74.00552427,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,14916,Subscriber,1978,2
655e5f633c829e1286442a74,812,2013-07-06T23:52:53.000Z,2013-07-07T00:06:25.000Z,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,17064,Subscriber,1945,2
655e5f633c829e1286442a7e,638,2013-07-06T23:55:36.000Z,2013-07-07T00:06:14.000Z,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,195,Liberty St & Broadway,40.70905623,-74.01043382,16359,Subscriber,1971,2
655e5f633c829e1286442a9d,404,2013-07-07T00:05:18.000Z,2013-07-07T00:12:02.000Z,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,471,Grand St & Havemeyer St,40.71286844,-73.95698119,16224,Subscriber,1982,2
655e5f633c829e1286442af1,1717,2013-07-07T00:27:23.000Z,2013-07-07T00:56:00.000Z,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,18685,Subscriber,1975,2
655e5f633c829e1286442b0f,1565,2013-07-07T00:38:05.000Z,2013-07-07T01:04:10.000Z,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15329,Subscriber,1982,2
655e5f633c829e1286442b3f,472,2013-07-07T00:52:12.000Z,2013-07-07T01:00:04.000Z,444,Broadway & W 24 St,40.7423543,-73.98915076,507,E 25 St & 2 Ave,40.73912601,-73.97973776,19241,Subscriber,1979,2
655e5f633c829e1286442b57,203,2013-07-07T00:57:34.000Z,2013-07-07T01:00:57.000Z,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,399,Lafayette Ave & St James Pl,40.68851534,-73.9647628,17959,Subscriber,1963,2
655e5f633c829e1286442ba2,2210,2013-07-07T01:30:42.000Z,2013-07-07T02:07:32.000Z,290,2 Ave & E 58 St,40.76020258,-73.96478473,303,Mercer St & Spring St,40.72362738,-73.99949601,20356,Subscriber,1975,2
655e5f633c829e1286442bbd,122,2013-07-07T01:46:50.000Z,2013-07-07T01:48:52.000Z,311,Norfolk St & Broome St,40.7172274,-73.98802084,350,Clinton St & Grand St,40.71559509,-73.9870295,19968,Subscriber,1971,2
655e5f633c829e1286442c0c,1990,2013-07-07T02:30:41.000Z,2013-07-07T03:03:51.000Z,518,E 39 St & 2 Ave,40.74780373,-73.9734419,394,E 9 St & Avenue C,40.72521311,-73.97768752,17246,Subscriber,1975,2
655e5f633c829e1286442c1a,286,2013-07-07T02:38:05.000Z,2013-07-07T02:42:51.000Z,266,Avenue D & E 8 St,40.72368361,-73.97574813,266,Avenue D & E 8 St,40.72368361,-73.97574813,17151,Subscriber,1951,2
655e5f633c829e1286442c39,1285,2013-07-07T03:04:25.000Z,2013-07-07T03:25:50.000Z,394,E 9 St & Avenue C,40.72521311,-73.97768752,439,E 4 St & 2 Ave,40.7262807,-73.98978041,17246,Subscriber,1975,2
655e5f633c829e1286442c41,1389,2013-07-07T03:13:41.000Z,2013-07-07T03:36:50.000Z,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,332,Cherry St,40.71219906,-73.97948148,20042,Subscriber,1982,2
655e5f633c829e1286442c45,1144,2013-07-07T03:20:21.000Z,2013-07-07T03:39:25.000Z,146,Hudson St & Reade St,40.71625008,-74.0091059,332,Cherry St,40.71219906,-73.97948148,16204,Subscriber,1981,2
655e5f633c829e1286442c46,1217,2013-07-07T03:20:42.000Z,2013-07-07T03:40:59.000Z,146,Hudson St & Reade St,40.71625008,-74.0091059,332,Cherry St,40.71219906,-73.97948148,18099,Subscriber,1981,2
